Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.4985e-04,-0.444,-0.436,-5.72205e-10,-0.0048
-1.4947e-04,-0.444,-0.448,-0.000800001,0.0072
-1.4908e-04,-0.444,-0.436,-0.000800001,-0.0056
-1.4870e-04,-0.444,-0.448,-0.0016,0.004
-1.4832e-04,-0.444,-0.44,-0.0016,-0.0072
-1.4793e-04,-0.444,-0.448,-0.0016,0.0096
-1.4755e-04,-0.444,-0.436,-0.0016,-0.0072
-1.4716e-04,-0.444,-0.448,-0.0024,0.004
-1.4678e-04,-0.444,-0.436,-0.0032,-0.0232
-1.4640e-04,-0.444,-0.448,-0.004,0.016
-1.4601e-04,-0.444,-0.44,-0.004,-0.016
-1.4563e-04,-0.444,-0.448,-0.004,0.0048
-1.4524e-04,-0.444,-0.436,-0.004,-0.0088
-1.4486e-04,-0.444,-0.448,-0.004,-5.72205e-10
-1.4448e-04,-0.444,-0.436,-0.0032,-0.0096
-1.4409e-04,-0.444,-0.448,-0.0024,0.004
-1.4371e-04,-0.444,-0.436,-0.0024,-0.0064
-1.4332e-04,-0.444,-0.448,-0.0016,0.0024
-1.4294e-04,-0.444,-0.44,-0.0016,-0.0064
-1.4256e-04,-0.444,-0.448,-0.0016,0.0016
-1.4217e-04,-0.444,-0.436,-0.000800001,-0.004
-1.4179e-04,-0.444,-0.448,-5.72205e-10,0.0024
-1.4140e-04,-0.444,-0.436,0.000799999,-0.0072
-1.4102e-04,-0.444,-0.448,0.0016,0.012
-1.4064e-04,-0.444,-0.44,0.0016,-0.0056
